film,role_type,name,image
The Incredibles,Director,Brad Bird,https://image.tmdb.org/t/p/w500/z73rItPBDoRUowY5kuWDMlue3DB.jpg
The Incredibles,Musician,Michael Giacchino,https://image.tmdb.org/t/p/w500/xgurVFMLVgtgz9f5bgrrCppm4xq.jpg
The Incredibles,Producer,John Walker,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
The Incredibles,Screenwriter,Brad Bird,https://image.tmdb.org/t/p/w500/z73rItPBDoRUowY5kuWDMlue3DB.jpg
The Incredibles,Storywriter,Brad Bird,https://image.tmdb.org/t/p/w500/z73rItPBDoRUowY5kuWDMlue3DB.jpg
Cars,Co-director,Joe Ranft,https://image.tmdb.org/t/p/w500/f1BoWC2JbCcfP1e5hKfGsxkHzVU.jpg
Cars,Director,John Lasseter,https://image.tmdb.org/t/p/w500/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg
Cars,Musician,Randy Newman,https://image.tmdb.org/t/p/w500/4tdkQXQEHY4B9V3RobHqpfQAKSg.jpg
Cars,Producer,Darla K. Anderson,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Cars,Screenwriter,Dan Fogelman,https://image.tmdb.org/t/p/w500/grLBoLU2blYEoT8vjGFOiM8mw1D.jpg
Cars,Screenwriter,Jorgen Klubien,https://image.tmdb.org/t/p/w500/uA9IK99EAHIo30iQF71bgOTqgoc.jpg
Cars,Screenwriter,John Lasseter,https://image.tmdb.org/t/p/w500/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg
Cars,Screenwriter,Phil Lorin,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Cars,Screenwriter,Kiel Murray,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Cars,Screenwriter,Joe Ranft,https://image.tmdb.org/t/p/w500/f1BoWC2JbCcfP1e5hKfGsxkHzVU.jpg
Cars,Storywriter,John Lasseter,https://image.tmdb.org/t/p/w500/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg
Cars,Storywriter,Jorgen Klubien,https://image.tmdb.org/t/p/w500/uA9IK99EAHIo30iQF71bgOTqgoc.jpg
Cars,Storywriter,Joe Ranft,https://image.tmdb.org/t/p/w500/f1BoWC2JbCcfP1e5hKfGsxkHzVU.jpg
Ratatouille,Co-director,Jan Pinkava,https://image.tmdb.org/t/p/w500/1V8yDrYABfQfWq6MnyjJ3fOM6Tc.jpg
Ratatouille,Director,Brad Bird,https://image.tmdb.org/t/p/w500/z73rItPBDoRUowY5kuWDMlue3DB.jpg
Ratatouille,Musician,Michael Giacchino,https://image.tmdb.org/t/p/w500/xgurVFMLVgtgz9f5bgrrCppm4xq.jpg
Ratatouille,Producer,Brad Lewis,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Ratatouille,Screenwriter,Brad Bird,https://image.tmdb.org/t/p/w500/z73rItPBDoRUowY5kuWDMlue3DB.jpg
Ratatouille,Storywriter,Brad Bird,https://image.tmdb.org/t/p/w500/z73rItPBDoRUowY5kuWDMlue3DB.jpg
Ratatouille,Storywriter,Jim Capobianco,https://image.tmdb.org/t/p/w500/d9KlVlydJ7sTLaZs1aADwF6MpSw.jpg
Ratatouille,Storywriter,Jan Pinkava,https://image.tmdb.org/t/p/w500/1V8yDrYABfQfWq6MnyjJ3fOM6Tc.jpg
WALL-E,Director,Andrew Stanton,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
WALL-E,Musician,Thomas Newman,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
WALL-E,Producer,Jim Morris,https://image.tmdb.org/t/p/w500/9jXQMKmyBYz123TDpZkqax9bk85.jpg
WALL-E,Screenwriter,Jim Reardon,https://image.tmdb.org/t/p/w500/nCDoyaC3AofsXFJWdpGtBmO3uoh.jpg
WALL-E,Screenwriter,Andrew Stanton,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
WALL-E,Storywriter,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
WALL-E,Storywriter,Andrew Stanton,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Up,Co-director,Bob Peterson,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Up,Director,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
Up,Musician,Michael Giacchino,https://image.tmdb.org/t/p/w500/xgurVFMLVgtgz9f5bgrrCppm4xq.jpg
Up,Producer,Jonas Rivera,https://image.tmdb.org/t/p/w500/uzoCan3ZeK2jXt3NaZ6uilvcQTU.jpg
Up,Screenwriter,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
Up,Screenwriter,Bob Peterson,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Up,Storywriter,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
Up,Storywriter,Tom McCarthy,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Up,Storywriter,Bob Peterson,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Toy Story 3,Director,Lee Unkrich,https://image.tmdb.org/t/p/w500/crb297utC6W4HSstOe5djDPTwEN.jpg
Toy Story 3,Musician,Randy Newman,https://image.tmdb.org/t/p/w500/4tdkQXQEHY4B9V3RobHqpfQAKSg.jpg
Toy Story 3,Producer,Darla K. Anderson,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Toy Story 3,Screenwriter,Michael Arndt,https://image.tmdb.org/t/p/w500/iTJcSs93lxURPoFo2fegB8shBlX.jpg
Toy Story 3,Storywriter,John Lasseter,https://image.tmdb.org/t/p/w500/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg
Toy Story 3,Storywriter,Andrew Stanton,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Toy Story 3,Storywriter,Lee Unkrich,https://image.tmdb.org/t/p/w500/crb297utC6W4HSstOe5djDPTwEN.jpg
Cars 2,Co-director,Brad Lewis,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Cars 2,Director,John Lasseter,https://image.tmdb.org/t/p/w500/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg
Cars 2,Musician,Michael Giacchino,https://image.tmdb.org/t/p/w500/xgurVFMLVgtgz9f5bgrrCppm4xq.jpg
Cars 2,Producer,Denise Ream,https://image.tmdb.org/t/p/w500/idxXAKRQBX0WnqPWBe6MK0flUph.jpg
Cars 2,Screenwriter,Ben Queen,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Cars 2,Storywriter,Dan Fogelman,https://image.tmdb.org/t/p/w500/grLBoLU2blYEoT8vjGFOiM8mw1D.jpg
Cars 2,Storywriter,John Lasseter,https://image.tmdb.org/t/p/w500/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg
Cars 2,Storywriter,Brad Lewis,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Brave,Co-director,Mark Andrews,https://image.tmdb.org/t/p/w500/1z6t4TK2ZehNZ5gwaN7893aNhJf.jpg
Brave,Director,Mark Andrews,https://image.tmdb.org/t/p/w500/1z6t4TK2ZehNZ5gwaN7893aNhJf.jpg
Brave,Director,Mark Andrews,https://image.tmdb.org/t/p/w500/1z6t4TK2ZehNZ5gwaN7893aNhJf.jpg
Brave,Musician,Mark Andrews,https://image.tmdb.org/t/p/w500/1z6t4TK2ZehNZ5gwaN7893aNhJf.jpg
Brave,Producer,Mark Andrews,https://image.tmdb.org/t/p/w500/1z6t4TK2ZehNZ5gwaN7893aNhJf.jpg
Brave,Screenwriter,Mark Andrews,https://image.tmdb.org/t/p/w500/1z6t4TK2ZehNZ5gwaN7893aNhJf.jpg
Brave,Screenwriter,Mark Andrews,https://image.tmdb.org/t/p/w500/1z6t4TK2ZehNZ5gwaN7893aNhJf.jpg
Brave,Screenwriter,Mark Andrews,https://image.tmdb.org/t/p/w500/1z6t4TK2ZehNZ5gwaN7893aNhJf.jpg
Brave,Screenwriter,Mark Andrews,https://image.tmdb.org/t/p/w500/1z6t4TK2ZehNZ5gwaN7893aNhJf.jpg
Brave,Storywriter,Mark Andrews,https://image.tmdb.org/t/p/w500/1z6t4TK2ZehNZ5gwaN7893aNhJf.jpg
Monsters University,Director,Dan Scanlon,https://image.tmdb.org/t/p/w500/sNHqtJKMd59fvEiwBRPD3zKKYQ4.jpg
Monsters University,Musician,Randy Newman,https://image.tmdb.org/t/p/w500/4tdkQXQEHY4B9V3RobHqpfQAKSg.jpg
Monsters University,Producer,Kori Rae,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Monsters University,Screenwriter,Robert L. Baird,https://image.tmdb.org/t/p/w500/okdPZRcL1eZCxBb5BqkLRlTgK5v.jpg
Monsters University,Screenwriter,Dan Gerson,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Monsters University,Screenwriter,Dan Scanlon,https://image.tmdb.org/t/p/w500/sNHqtJKMd59fvEiwBRPD3zKKYQ4.jpg
Monsters University,Storywriter,Robert L. Baird,https://image.tmdb.org/t/p/w500/okdPZRcL1eZCxBb5BqkLRlTgK5v.jpg
Monsters University,Storywriter,Dan Gerson,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
